Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 14:45:15,2017-10-22 14:45:48,33.135s,PASSED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,,2017-10-22 14:45:15,2017-10-22 14:45:34,19.178s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 14:45:16,2017-10-22 14:45:19,3.546s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 14:45:19,2017-10-22 14:45:27,7.239s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 14:45:27,2017-10-22 14:45:27,0.129s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 14:45:27,2017-10-22 14:45:27,0.168s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 14:45:27,2017-10-22 14:45:27,0.135s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 14:45:27,2017-10-22 14:45:30,3.363s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 14:45:30,2017-10-22 14:45:31,1.175s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 14:45:31,2017-10-22 14:45:32,0.464s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 14:45:32,2017-10-22 14:45:32,0.118s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 14:45:32,2017-10-22 14:45:32,0.318s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 14:45:32,2017-10-22 14:45:32,0.092s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 14:45:32,2017-10-22 14:45:34,1.647s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 14:45:34,2017-10-22 14:45:48,13.410s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 14:45:35,2017-10-22 14:45:42,7.624s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 14:45:42,2017-10-22 14:45:42,0.156s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 14:45:42,2017-10-22 14:45:42,0.159s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 14:45:42,2017-10-22 14:45:46,3.869s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 14:45:46,2017-10-22 14:45:47,0.230s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 14:45:47,2017-10-22 14:45:48,1.019s,PASSED
