Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 15:54:57,2017-10-22 15:55:26,29.018s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 15:54:57,2017-10-22 15:55:13,15.983s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:54:57,2017-10-22 15:55:01,3.648s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 15:55:01,2017-10-22 15:55:07,5.708s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:55:07,2017-10-22 15:55:07,0.130s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:55:07,2017-10-22 15:55:07,0.154s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:55:07,2017-10-22 15:55:07,0.153s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:55:07,2017-10-22 15:55:11,3.383s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:55:11,2017-10-22 15:55:12,0.898s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:55:12,2017-10-22 15:55:12,0.125s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 15:55:12,2017-10-22 15:55:12,0.057s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:55:12,2017-10-22 15:55:12,0.084s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 15:55:12,2017-10-22 15:55:12,0.039s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:55:12,2017-10-22 15:55:13,1.046s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 15:55:13,2017-10-22 15:55:26,12.614s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 15:55:13,2017-10-22 15:55:21,7.661s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:55:21,2017-10-22 15:55:21,0.131s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 15:55:21,2017-10-22 15:55:21,0.103s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 15:55:21,2017-10-22 15:55:25,3.617s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 15:55:25,2017-10-22 15:55:25,0.141s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 15:55:25,2017-10-22 15:55:26,0.812s,PASSED
